,parentProtocolSlug,amountUsd,name,childSlugs
0,40-acres,4850937.600006422,['40 Acres'],['40-acres']
1,9summits,19878280.795760404,['9Summits'],['9summits']
2,aave,2359881023.1084895,"['Aave V3', 'Aave V2', 'Aave V3', 'Aave V2', 'Aave V3']","['aave-v3', 'aave-v2', 'aave-v3', 'aave-v2', 'aave-v3']"
3,abracadabra,7384187.579199956,"['MIM Swap', 'MIM Swap']","['mim-swap', 'mim-swap']"
4,across,6800985.174289517,"['Across', 'Across']","['across', 'across']"
5,acryptos,10564758.26,['ACryptoS'],['acryptos']
6,adrena-protocol,3230801.5447116587,['Adrena Protocol'],['adrena-protocol']
7,aera,65298351.223383434,"['Aera V2', 'Aera V3']","['aera-v2', 'aera-v3']"
8,aerodrome,172311192.13754818,"['Aerodrome Slipstream', 'Aerodrome V1', 'Aerodrome Slipstream']","['aerodrome-slipstream', 'aerodrome-v1', 'aerodrome-slipstream']"
9,aevo,26004853.336516283,['Aevo Perps'],['aevo-perps']
10,alien-base,1302408.1586761991,['Alien Base V3'],['alien-base-v3']
11,allbridge,42951379.80707654,"['Allbridge Core', 'Allbridge Classic', 'Allbridge Core']","['allbridge-core', 'allbridge-classic', 'allbridge-core']"
12,almanak,39587473.79821256,"['Almanak', 'Almanak']","['almanak', 'almanak']"
13,alpaca-finance,8324944.015884505,"['Alpaca Finance 2.0', 'Alpaca Leveraged Yield Farming']","['alpaca-finance-2.0', 'alpaca-leveraged-yield-farming']"
14,alphafi,9018396.941439135,['AlphaFi Agg'],['alphafi-agg']
15,alphaping,19324108.81352731,['AlphaPing'],['alphaping']
16,ambient,2458441.678976237,['Ambient'],['ambient']
17,anemoy-capital,337141467.23744714,['Anemoy Capital'],['anemoy-capital']
18,angle,1084687.4663826653,['Angle'],['angle']
19,angstrom,2859750.486637232,['Angstrom'],['angstrom']
20,apex-protocol,16767859.324549126,"['ApeX Pro', 'Apex Omni', 'Apex Omni']","['apex-pro', 'apex-omni', 'apex-omni']"
21,apostro,6276560.934096221,['Apostro'],['apostro']
22,aquarius-stellar,27949662.5755942,['Aquarius Stellar'],['aquarius-stellar']
23,arbitrum-bridge,78187675.04245889,['Arbitrum Bridge'],['arbitrum-bridge']
24,arcadia-finance,3503642.2048783535,['Arcadia V2'],['arcadia-v2']
25,aries-markets,20399534.695573643,"['Aries Markets', 'Aries Markets']","['aries-markets', 'aries-markets']"
26,arkis,2728179.2621503086,['Arkis'],['arkis']
27,arrakis-finance,60653761.26636332,"['Arrakis V2', 'Arrakis Modular', 'Arrakis V1']","['arrakis-v2', 'arrakis-modular', 'arrakis-v1']"
28,aster,27143634.42610764,"['APX Finance', 'Aster Perps', 'APX Finance']","['apx-finance', 'aster-perps', 'apx-finance']"
29,astroport,10715385.745308105,['Astroport'],['astroport']
30,aura,4879419.429546143,['Aura'],['aura']
31,avalanche-core-bridge,66761937.2576419,"['Avalanche Core Bridge', 'Avalanche Core Bridge']","['avalanche-core-bridge', 'avalanche-core-bridge']"
32,avantis,22801289.7343033,['Avantis'],['avantis']
33,awaken-swap,7761767.54394,['Awaken Swap'],['awaken-swap']
34,axelar-network,25995144.097333793,"['Axelar', 'Axelar']","['axelar', 'axelar']"
35,azuro,1194344.756007,['Azuro'],['azuro']
36,b.protocol-curator,139680713.29733622,['B.Protocol Curator'],['b.protocol-curator']
37,babyswap,1237999.8784615337,['BabySwap'],['babyswap']
38,balancer,5339426.469960401,['Balancer V2'],['balancer-v2']
39,base-bridge,36415756.62812963,"['Base Bridge', 'Base Bridge']","['base-bridge', 'base-bridge']"
40,beefy,320019190.096721,['Beefy'],['beefy']
41,benqi,5344448.318032,['Benqi Lending'],['benqi-lending']
42,binaryx-platform,5997270.340768784,['Binaryx Platform'],['binaryx-platform']
43,biswap,5076899.853792873,['Biswap V2'],['biswap-v2']
44,bitlayer-bridge,7500000.0,['Bitlayer Bridge'],['bitlayer-bridge']
45,bitu-protocol,3706801.1050017984,['BitU Protocol'],['bitu-protocol']
46,blackhole,18232336.597529,"['Blackhole AMM', 'Blackhole CLMM']","['blackhole-amm', 'blackhole-clmm']"
47,blend,2004402.3249817837,['Blend Pools V2'],['blend-pools-v2']
48,block-analitica,64468464.95632288,['Block Analitica'],['block-analitica']
49,bluefin,56539215.27087122,"['AlphaLend', 'Bluefin Pro', 'Bluefin Spot', 'AlphaLend', 'Bluefin Spot']","['alphalend', 'bluefin-pro', 'bluefin-spot', 'alphalend', 'bluefin-spot']"
50,boba-bridge,1441431.3913243664,['Boba Bridge'],['boba-bridge']
51,bonzo-finance,5278691.472455808,['Bonzo Finance'],['bonzo-finance']
52,bouncebit-cedefi-yield,37728727.918338485,['BounceBit CeDeFi Yield'],['bouncebit-cedefi-yield']
53,brickken,35256232.42524412,"['Brickken', 'Brickken']","['brickken', 'brickken']"
54,bucket-protocol,9147018.219606895,"['Bucket CDP', 'Bucket CDP']","['bucket-cdp', 'bucket-cdp']"
55,bulbaswap,1688923.3449704656,['BulbaSwap V2'],['bulbaswap-v2']
56,bunni,14989355.887657342,"['Bunni V2', 'Bunni V2']","['bunni-v2', 'bunni-v2']"
57,butter-network,1494875.3865364082,['Butter Network'],['butter-network']
58,byreal,1334184.8489491225,['Byreal'],['byreal']
59,camelot,11636420.826097988,['Camelot V3'],['camelot-v3']
60,cap,81942743.52181143,['cap'],['cap']
61,carbon-defi,1019403.3455573365,['Carbon Defi'],['carbon-defi']
62,carrot,21398447.07953768,"['Carrot Liquidity', 'Carrot Liquidity']","['carrot-liquidity', 'carrot-liquidity']"
63,cbridge,12926376.969446208,"['cBridge', 'cBridge']","['cbridge', 'cbridge']"
64,centrifuge,947233038.268346,['Centrifuge Protocol'],['centrifuge-protocol']
65,cetus,24284528.771875646,"['Cetus AMM', 'Cetus AMM']","['cetus-amm', 'cetus-amm']"
66,chain-fusion,4005792.823896044,"['Chain Fusion', 'Chain Fusion']","['chain-fusion', 'chain-fusion']"
67,chainflip,2246094.90092308,['Chainflip'],['chainflip']
68,chainge-finance,4368533.858375478,"['Chainge Finance', 'Chainge Finance']","['chainge-finance', 'chainge-finance']"
69,clearstar,7187944.519113129,['Clearstar'],['clearstar']
70,coinwind,129836226.83467437,"['Coinwind', 'Coinwind']","['coinwind', 'coinwind']"
71,colend-protocol,1897730.7312942059,['Colend Protocol'],['colend-protocol']
72,cometa,1673988.968481,['Cometa'],['cometa']
73,compound-blue,3825646.6508263703,['Compound Blue'],['compound-blue']
74,compound-finance,146692316.4479139,"['Compound V2', 'Compound V3', 'Compound V3', 'Compound V2']","['compound-v2', 'compound-v3', 'compound-v3', 'compound-v2']"
