parentProtocolSlug,amountUsd,name,childSlugs
aave,8004000401.069445,"['Aave V3', 'Aave V2', 'Aave V1']","['aave-v3', 'aave-v2', 'aave-v1']"
morpho,2638429700.467134,"['Morpho Blue', 'Morpho AaveV3', 'Morpho Aave', 'Morpho Compound']","['morpho-blue', 'morpho-aavev3', 'morpho-aave', 'morpho-compound']"
compound-finance,1282561082.7803073,"['Compound V3', 'Compound V2']","['compound-v3', 'compound-v2']"
arbitrum-bridge,930909911.4911805,['Arbitrum Bridge'],['arbitrum-bridge']
justlend,762670527.6431319,['JustLend'],['justlend']
veda,655821724.4334437,['Veda'],['veda']
spark,585051276.879081,['SparkLend'],['sparklend']
unirouter,577853756.9594399,['UniRouter'],['unirouter']
uniswap,561174007.6934804,"['Uniswap V3', 'Uniswap V2', 'Uniswap V4']","['uniswap-v3', 'uniswap-v2', 'uniswap-v4']"
lorenzo-protocol,450847949.77294225,['Lorenzo enzoBTC'],['lorenzo-enzobtc']
buzz-farming,398442203.2540103,['Buzz Farming'],['buzz-farming']
ether.fi,389256698.1239226,"['ether.fi Stake', 'ether.fi Liquid']","['ether.fi-stake', 'ether.fi-liquid']"
solv-protocol,373971315.8608033,"['SolvBTC', 'SolvBTC LSTs', 'Solv Strategies', 'Solv Basis Trading', 'Solv Others', 'Solv Vesting']","['solvbtc', 'solvbtc-lsts', 'solv-strategies', 'solv-basis-trading', 'solv-others', 'solv-vesting']"
ybtc.b,344492285.3919002,['YBTC.B'],['ybtc.b']
desyn-protocol,340227345.20824087,"['DeSyn Liquid Strategy', 'DeSyn Basis Trading', 'DeSyn Safe']","['desyn-liquid-strategy', 'desyn-basis-trading', 'desyn-safe']"
polygon-bridge-&-staking,313185562.9064144,['Polygon Bridge & Staking'],['polygon-bridge-&-staking']
jupiter,243841984.42217758,"['Jupiter Perpetual Exchange', 'Jupiter Lend']","['jupiter-perpetual-exchange', 'jupiter-lend']"
suibridge,235809194.18475488,['SuiBridge'],['suibridge']
kamino,232604647.2810615,['Kamino Lend'],['kamino-lend']
lista-dao,228713507.4936606,"['Lista Lending', 'Lista CDP']","['lista-lending', 'lista-cdp']"
curve-finance,226480463.34687176,"['Curve DEX', 'crvUSD', 'Curve LlamaLend']","['curve-dex', 'crvusd', 'curve-llamalend']"
satlayer,213622450.9275596,['SatLayer'],['satlayer']
symbiotic,187401098.39559,['Symbiotic'],['symbiotic']
free-protocol,181365891.398608,['Free Protocol'],['free-protocol']
hive-protocol,179528888.81498387,['Hive Protocol'],['hive-protocol']
river,177844500.8686403,['River Omni-CDP'],['river-omni-cdp']
venus,171296146.11995924,"['Venus Core Pool', 'Venus Isolated Pools']","['venus-core-pool', 'venus-isolated-pools']"
fluid,170469260.7788055,"['Fluid Lending', 'Fluid Lite']","['fluid-lending', 'fluid-lite']"
pendle,151566598.15128452,['Pendle'],['pendle']
gmx,147743636.47869515,"['GMX V2 Perps', 'GMX V1 Perps']","['gmx-v2-perps', 'gmx-v1-perps']"
karak-protocol,141726623.57007268,['Karak'],['karak']
sky,140813384.291111,['Sky Lending'],['sky-lending']
suilend-protocol,128593590.8674723,"['Suilend', 'STEAMM']","['suilend', 'steamm']"
navi-protocol,123513869.2690349,['NAVI Lending'],['navi-lending']
tulipa-capital,121046749.14253393,['Tulipa Capital'],['tulipa-capital']
vaultcraft,110669024.78839165,['VaultCraft'],['vaultcraft']
optimism-bridge,97292378.20614585,['Optimism Bridge'],['optimism-bridge']
yei-finance,97190650.01234716,['YeiLend'],['yeilend']
benqi,95752858.99607593,['Benqi Lending'],['benqi-lending']
moonwell,90339790.8021173,"['Moonwell Lending', 'Moonwell Vaults']","['moonwell-lending', 'moonwell-vaults']"
euler,82654714.90210366,"['Euler V2', 'Euler V1']","['euler-v2', 'euler-v1']"
gauntlet,81454231.73012488,['Gauntlet'],['gauntlet']
fx-protocol,76486316.97919859,['fx Protocol'],['fx-protocol']
bitzap-yusd,71228303.83746178,['BitZap yUSD'],['bitzap-yusd']
mezo-network,66563045.53064079,['Mezo Network'],['mezo-network']
cian-protocol,64476695.59613108,"['CIAN Yield Layer', 'CIAN Curating']","['cian-yield-layer', 'cian-curating']"
defi-saver,61890105.53540017,['Defi Saver'],['defi-saver']
aerodrome,59091381.74483064,"['Aerodrome V1', 'Aerodrome Slipstream']","['aerodrome-v1', 'aerodrome-slipstream']"
vault-bridge,55753668.30113858,['Vault Bridge'],['vault-bridge']
beraborrow,53557818.3738652,['Beraborrow'],['beraborrow']
lombard-finance,47984425.52282293,"['Lombard', 'Lombard Vault']","['lombard', 'lombard-vault']"
mev-capital,46746725.54970176,['MEV Capital'],['mev-capital']
avalanche-core-bridge,46325404.893564716,['Avalanche Core Bridge'],['avalanche-core-bridge']
euler-dao,45156387.887936406,['Euler DAO'],['euler-dao']
edge-capital,45000860.693979956,['Edge Capital'],['edge-capital']
trevee-earn,42069511.41310043,['Trevee Earn'],['trevee-earn']
derive,41250353.477188855,"['Derive V2', 'Derive V1']","['derive-v2', 'derive-v1']"
pell-network,36219409.87738877,['Pell Network'],['pell-network']
stream-finance,36107628.61472592,['Stream Finance'],['stream-finance']
coinwind,31877221.11205296,['Coinwind'],['coinwind']
kodiak,31211638.87740819,"['Kodiak V3', 'Kodiak V2']","['kodiak-v3', 'kodiak-v2']"
orca,30958602.823817495,['Orca DEX'],['orca-dex']
ring-protocol,30820659.95889318,['Ring Few'],['ring-few']
across,30584750.319882076,['Across'],['across']
k3-capital,29737651.674292795,['K3 Capital'],['k3-capital']
proxy,29094509.84294818,['Proxy'],['proxy']
myx-finance,29010027.78018662,['MYX Finance'],['myx-finance']
capyfi,24721979.9388609,['Capyfi'],['capyfi']
sushi,23441615.99681874,"['SushiSwap', 'SushiSwap V3', 'Sushi BentoBox', 'Sushi Aptos', 'Sushi Trident', 'Sushi Kashi', 'Sushi Furo']","['sushiswap', 'sushiswap-v3', 'sushi-bentobox', 'sushi-aptos', 'sushi-trident', 'sushi-kashi', 'sushi-furo']"
bluefin,23099161.35713793,"['AlphaLend', 'Bluefin Spot']","['alphalend', 'bluefin-spot']"
b.protocol-curator,22907922.5544057,['B.Protocol Curator'],['b.protocol-curator']
